Date,NIFTY_50,ALKEM
2023-11-06,3730.6240234375,19411.75
2023-11-07,3927.77587890625,19406.69921875
2023-11-08,4128.04931640625,19443.5
2023-11-09,4176.81298828125,19395.30078125
2023-11-10,4199.77978515625,19425.349609375
2023-11-13,4193.63671875,19443.55078125
2023-11-15,4237.5234375,19675.44921875
2023-11-16,4253.4208984375,19765.19921875
2023-11-17,4338.46484375,19731.80078125
2023-11-20,4281.99560546875,19694.0
2023-11-21,4377.3291015625,19783.400390625
2023-11-22,4418.9248046875,19811.849609375
2023-11-23,4409.36669921875,19802.0
2023-11-24,4445.1103515625,19794.69921875
2023-11-28,4441.60009765625,19889.69921875
2023-11-29,4454.3271484375,20096.599609375
2023-11-30,4606.76318359375,20133.150390625
2023-12-01,4532.98291015625,20267.900390625
2023-12-04,4499.091796875,20686.80078125
2023-12-05,4537.810546875,20855.099609375
2023-12-06,4608.95703125,20937.69921875
2023-12-07,4768.609375,20901.150390625
2023-12-08,4677.47021484375,20969.400390625
2023-12-11,4608.42041015625,20997.099609375
2023-12-12,4676.64111328125,20906.400390625
2023-12-13,4764.5625,20926.349609375
2023-12-14,4737.1083984375,21182.69921875
2023-12-15,4797.72216796875,21456.650390625
2023-12-18,4782.01904296875,21418.650390625
2023-12-19,4814.59375,21453.099609375
2023-12-20,4756.76025390625,21150.150390625
2023-12-21,4788.50537109375,21255.05078125
2023-12-22,4792.89404296875,21349.400390625
2023-12-26,4849.55810546875,21441.349609375
2023-12-27,4949.81591796875,21654.75
2023-12-28,4999.60302734375,21778.69921875
2023-12-29,5073.96826171875,21731.400390625
2024-01-01,4993.41015625,21741.900390625
2024-01-02,5057.77880859375,21665.80078125
2024-01-03,5110.93115234375,21517.349609375
2024-01-04,5139.16650390625,21658.599609375
2024-01-05,5109.07861328125,21710.80078125
2024-01-08,5074.89501953125,21513.0
2024-01-09,5050.5126953125,21544.849609375
2024-01-10,4993.2158203125,21618.69921875
2024-01-11,4932.7001953125,21647.19921875
2024-01-12,4923.87353515625,21894.55078125
2024-01-15,4913.0478515625,22097.44921875
2024-01-16,4935.4794921875,22032.30078125
2024-01-17,4931.1396484375,21571.94921875
2024-01-18,4811.86328125,21462.25
2024-01-19,4841.56005859375,21622.400390625
2024-01-23,4696.634765625,21238.80078125
2024-01-24,4875.98779296875,21453.94921875
2024-01-25,4848.826171875,21352.599609375
2024-01-29,4852.3369140625,21737.599609375
2024-01-30,4824.0048828125,21522.099609375
2024-01-31,4872.525390625,21725.69921875
2024-02-01,4734.71875,21697.44921875
2024-02-02,4796.11279296875,21853.80078125
2024-02-05,4802.3056640625,21771.69921875
2024-02-06,4939.9658203125,21929.400390625
2024-02-07,5001.06640625,21930.5
2024-02-08,5179.833984375,21717.94921875
2024-02-09,5196.169921875,21782.5
2024-02-12,5022.03466796875,21616.05078125
2024-02-13,5162.57177734375,21743.25
2024-02-14,5108.2978515625,21840.05078125
2024-02-15,5179.2490234375,21910.75
2024-02-16,5345.2138671875,22040.69921875
2024-02-19,5371.96630859375,22122.25
2024-02-20,5304.2255859375,22196.94921875
2024-02-21,5316.64501953125,22055.05078125
2024-02-22,5324.20458984375,22217.44921875
2024-02-23,5322.19189453125,22212.69921875
